ncm;cest;uf_destino;regime;segmento;base_legal;data_inicio_vigencia;data_fim_vigencia
25222000;1000100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
27101932;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
27101932;0600700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
27101999;0600800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
27101999;0600801;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
28211011;2400200;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32041700;2400300;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32081010;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32081020;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32082019;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32082020;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32089010;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32089029;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32091010;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32091020;2400100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
32149000;1000300;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
34022000;1100500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
34025000;1100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
34029039;1100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
34029090;1100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
34039900;0601700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
38089429;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
38089999;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
38220090;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
38245000;1000200;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
38249041;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
38249941;2804300;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39100090;1000400;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39172300;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39172300;1000600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39172900;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39172900;1000600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173100;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173100;1000600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173240;1000600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173290;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173290;1000600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173290;1006200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173290;1007900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173300;1000600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173900;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39173900;0100600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39174090;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39174090;1000600;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39174090;2804000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39189000;1000700;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
39191090;0109000;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
